periode_data;wilayah;tanggal;harga;komoditas
202401;Jakarta Utara;31;71927;Cabe Merah Keriting
202401;Jakarta Utara;31;78807;Cabe Merah Besar (TW)
202401;Jakarta Utara;31;74606;Cabe Rawit Merah
202401;Jakarta Utara;31;50977;Cabe Rawit Hijau
202401;Jakarta Utara;31;41985;Bawang Merah
202401;Jakarta Utara;31;43643;Bawang Putih
202401;Jakarta Utara;31;146200;Daging Sapi Has (Paha Belakang)
202401;Jakarta Utara;31;144302;Daging Sapi Murni (Semur)
202401;Jakarta Utara;31;42011;Ayam Broiler/Ras
202401;Jakarta Utara;31;27316;Telur Ayam Ras
202401;Jakarta Utara;31;16086;Gula Pasir
202401;Jakarta Utara;31;11907;Tepung Terigu
202401;Jakarta Utara;31;4003;Garam Dapur
202401;Jakarta Utara;31;20644;Kentang (sedang)
202401;Jakarta Utara;31;22483;Tomat Buah
202401;Jakarta Utara;31;10300;Kelapa Kupas
202401;Jakarta Utara;31;12935;Semangka
202401;Jakarta Utara;31;33699;Jeruk Medan
202401;Jakarta Utara;31;140780;Daging Kambing
202401;Jakarta Utara;31;110032;Daging Babi Berlemak
202401;Jakarta Utara;31;39679;Ikan Bandeng (sedang)
202401;Jakarta Utara;31;36934;Ikan Mas
202401;Jakarta Utara;31;28106;Ikan Lele
202401;Jakarta Utara;31;20807;Gas Elpiji 3kg
202401;Jakarta Utara;31;43000;Susu Bubuk Bendera 400gr
202401;Jakarta Utara;31;51048;Susu Bubuk Dancow 400gr
202401;Jakarta Utara;31;14329;Susu Kental Bendera 200gr
202401;Jakarta Utara;31;11399;Susu Kental Enak 200gr
202401;Jakarta Utara;31;17507;Margarin Blueband Cup
202401;Jakarta Utara;31;11745;Margarin Blueband Sachet
202401;Jakarta Barat;31;14530;Beras IR I (IR 64)
202401;Jakarta Barat;31;13747;Beras IR II (IR 64) Ramos
202401;Jakarta Barat;31;12436;Beras IR III (IR 64)
202401;Jakarta Barat;31;15034;Beras Muncul I
202401;Jakarta Barat;31;14786;Beras IR 42/Pera
202401;Jakarta Barat;31;14237;Beras Setra I/Premium
202401;Jakarta Barat;31;15905;Minyak Goreng (Kuning/Curah)
202401;Jakarta Barat;31;69667;Cabe Merah Keriting
202401;Jakarta Barat;31;76638;Cabe Merah Besar (TW)
202401;Jakarta Barat;31;66473;Cabe Rawit Merah
202401;Jakarta Barat;31;44367;Cabe Rawit Hijau
202401;Jakarta Barat;31;38634;Bawang Merah
202401;Jakarta Barat;31;40426;Bawang Putih
202401;Jakarta Barat;31;140601;Daging Sapi Has (Paha Belakang)
202401;Jakarta Barat;31;135285;Daging Sapi Murni (Semur)
202401;Jakarta Barat;31;38649;Ayam Broiler/Ras
202401;Jakarta Barat;31;27358;Telur Ayam Ras
202401;Jakarta Barat;31;17524;Gula Pasir
202401;Jakarta Barat;31;11933;Tepung Terigu
202401;Jakarta Barat;31;4293;Garam Dapur
202401;Jakarta Barat;31;20622;Kentang (sedang)
202401;Jakarta Barat;31;24651;Tomat Buah
202401;Jakarta Barat;31;9291;Kelapa Kupas
202401;Jakarta Barat;31;11043;Semangka
202401;Jakarta Barat;31;26276;Jeruk Medan
202401;Jakarta Barat;31;146452;Daging Kambing
202401;Jakarta Barat;31;112253;Daging Babi Berlemak
202403;KOTA ADM. JAKARTA TIMUR;31;24.336.021.505.376.300;Mas
202403;KOTA ADM. JAKARTA TIMUR;31;17.927.419.354.838.700;Lele
202403;KOTA ADM. JAKARTA TIMUR;31;10.502.688.172.043.000;Gas Elpiji (3 kg)
202403;KOTA ADM. JAKARTA TIMUR;31;6.169.354.838.709.670;Susu Bubuk Bendera (400 gr)
202403;KOTA ADM. JAKARTA TIMUR;31;3750;Susu Bubuk Dancow (400 gr)
202403;KOTA ADM. JAKARTA TIMUR;31;7.885.752.688.172.040;Susu Kental Bendera ( 200 gr)
202403;KOTA ADM. JAKARTA TIMUR;31;4.943.548.387.096.770;Susu Kental Enak (200 gr)
202403;KOTA ADM. JAKARTA TIMUR;31;8.873.655.913.978.490;Margarine Blue Band Cup (250 gr)
202403;KOTA ADM. JAKARTA TIMUR;31;6.404.569.892.473.110;Margarine Blue Band Sachet (200 gr)
202404;Kota Adm. Jakarta Pusat;30;15429;Beras IR. I (IR 64)
202404;Kota Adm. Jakarta Pusat;30;14811;Beras IR. II (IR 64) Ramos
202404;Kota Adm. Jakarta Pusat;30;14973;Beras IR. III (IR 64)
202404;Kota Adm. Jakarta Pusat;30;15730;Beras Muncul .I
202404;Kota Adm. Jakarta Pusat;30;15835;Beras IR 42/Pera
202404;Kota Adm. Jakarta Pusat;30;15571;Beras Setra I/Premium
202404;Kota Adm. Jakarta Pusat;30;16906;Minyak Goreng (Kuning/Curah)
202404;Kota Adm. Jakarta Pusat;30;50188;Cabe Merah Keriting
202404;Kota Adm. Jakarta Pusat;30;62422;Cabe Merah Besar (TW)
202404;Kota Adm. Jakarta Pusat;30;50269;Cabe Rawit Merah
202404;Kota Adm. Jakarta Pusat;30;47986;Cabe Rawit Hijau
202404;Kota Adm. Jakarta Pusat;30;55453;Bawang Merah
202404;Kota Adm. Jakarta Pusat;30;45598;Bawang Putih
202404;Kota Adm. Jakarta Pusat;30;146318;Daging Sapi Has (Paha Belakang)
202404;Kota Adm. Jakarta Pusat;30;140626;Daging Sapi Murni (Semur)
202404;Kota Adm. Jakarta Pusat;30;44126;Ayam Broiler/Ras
202404;Kota Adm. Jakarta Pusat;30;29925;Telur Ayam Ras
202404;Kota Adm. Jakarta Pusat;30;16622;Gula Pasir
202404;Kota Adm. Jakarta Pusat;30;10317;Tepung Terigu
202404;Kota Adm. Jakarta Pusat;30;3677;Garam Dapur
202404;Kota Adm. Jakarta Pusat;30;19905;Kentang (sedang)
202404;Kota Adm. Jakarta Pusat;30;26928;Tomat Buah
202404;Kota Adm. Jakarta Pusat;30;10347;Kelapa Kupas
202404;Kota Adm. Jakarta Pusat;30;11763;Semangka
202404;Kota Adm. Jakarta Pusat;30;31375;Jeruk Medan
202404;Kota Adm. Jakarta Pusat;30;145288;Daging Kambing
202404;Kota Adm. Jakarta Pusat;30;123525;Daging Babi Berlemak
202404;Kota Adm. Jakarta Pusat;30;43699;Ikan Bandeng (sedang)
202404;Kota Adm. Jakarta Pusat;30;37029;Ikan Mas
202404;Kota Adm. Jakarta Pusat;30;27973;Ikan Lele
202404;Kota Adm. Jakarta Pusat;30;21514;Gas Elpiji 3kg
202404;Kota Adm. Jakarta Pusat;30;45000;Susu Bubuk Bendera 400gr
202404;Kota Adm. Jakarta Pusat;30;42640;Susu Bubuk Dancow 400gr
202404;Kota Adm. Jakarta Pusat;30;12132;Susu Kental Bendera 200gr
202404;Kota Adm. Jakarta Pusat;30;10574;Susu Kental Enak 200gr
202404;Kota Adm. Jakarta Pusat;30;15695;Margarin Blueband Cup
202404;Kota Adm. Jakarta Pusat;30;10174;Margarin Blueband Sachet
202404;Kota Adm. Jakarta Utara;30;15606;Beras IR. I (IR 64)
202404;Kota Adm. Jakarta Utara;30;15123;Beras IR. II (IR 64) Ramos
202404;Kota Adm. Jakarta Utara;30;14493;Beras IR. III (IR 64)
202404;Kota Adm. Jakarta Utara;30;16304;Beras Muncul .I
202404;Kota Adm. Jakarta Utara;30;16670;Beras IR 42/Pera
202401;Jakarta Barat;31;41717;Ikan Bandeng (sedang)
202401;Jakarta Barat;31;38699;Ikan Mas
202401;Jakarta Barat;31;29944;Ikan Lele
202401;Jakarta Barat;31;22306;Gas Elpiji 3kg
202401;Jakarta Barat;31;31871;Susu Bubuk Bendera 400gr
202401;Jakarta Barat;31;48661;Susu Bubuk Dancow 400gr
202401;Jakarta Barat;31;13806;Susu Kental Bendera 200gr
202401;Jakarta Barat;31;13097;Susu Kental Enak 200gr
202401;Jakarta Barat;31;15398;Margarin Blueband Cup
202401;Jakarta Barat;31;9984;Margarin Blueband Sachet
202401;Jakarta Selatan;31;13763;Beras IR I (IR 64)
202401;Jakarta Selatan;31;12872;Beras IR II (IR 64) Ramos
202401;Jakarta Selatan;31;12389;Beras IR III (IR 64)
202401;Jakarta Selatan;31;14600;Beras Muncul I
202401;Jakarta Selatan;31;14573;Beras IR 42/Pera
202401;Jakarta Selatan;31;13629;Beras Setra I/Premium
202404;Kota Adm. Jakarta Utara;30;16340;Beras Setra I/Premium
202404;Kota Adm. Jakarta Utara;30;16384;Minyak Goreng (Kuning/Curah)
202404;Kota Adm. Jakarta Utara;30;56199;Cabe Merah Keriting
202404;Kota Adm. Jakarta Utara;30;68156;Cabe Merah Besar (TW)
202404;Kota Adm. Jakarta Utara;30;56244;Cabe Rawit Merah
202404;Kota Adm. Jakarta Utara;30;54113;Cabe Rawit Hijau
202404;Kota Adm. Jakarta Utara;30;55197;Bawang Merah
202404;Kota Adm. Jakarta Utara;30;45791;Bawang Putih
202404;Kota Adm. Jakarta Utara;30;150216;Daging Sapi Has (Paha Belakang)
202404;Kota Adm. Jakarta Utara;30;145277;Daging Sapi Murni (Semur)
202404;Kota Adm. Jakarta Utara;30;45437;Ayam Broiler/Ras
202404;Kota Adm. Jakarta Utara;30;30102;Telur Ayam Ras
202404;Kota Adm. Jakarta Utara;30;16836;Gula Pasir
202404;Kota Adm. Jakarta Utara;30;11583;Tepung Terigu
202404;Kota Adm. Jakarta Utara;30;3914;Garam Dapur
202404;Kota Adm. Jakarta Utara;30;21527;Kentang (sedang)
202404;Kota Adm. Jakarta Utara;30;26086;Tomat Buah
202404;Kota Adm. Jakarta Utara;30;10582;Kelapa Kupas
202404;Kota Adm. Jakarta Utara;30;12599;Semangka
202404;Kota Adm. Jakarta Utara;30;33804;Jeruk Medan
202404;Kota Adm. Jakarta Utara;30;140681;Daging Kambing
202404;Kota Adm. Jakarta Utara;30;111868;Daging Babi Berlemak
202404;Kota Adm. Jakarta Utara;30;40935;Ikan Bandeng (sedang)
202404;Kota Adm. Jakarta Utara;30;37019;Ikan Mas
202404;Kota Adm. Jakarta Utara;30;28052;Ikan Lele
202404;Kota Adm. Jakarta Utara;30;21992;Gas Elpiji 3kg
202404;Kota Adm. Jakarta Utara;30;43863;Susu Bubuk Bendera 400gr
202404;Kota Adm. Jakarta Utara;30;50692;Susu Bubuk Dancow 400gr
202404;Kota Adm. Jakarta Utara;30;15377;Susu Kental Bendera 200gr
202404;Kota Adm. Jakarta Utara;30;11262;Susu Kental Enak 200gr
202404;Kota Adm. Jakarta Utara;30;17417;Margarin Blueband Cup
202404;Kota Adm. Jakarta Utara;30;12065;Margarin Blueband Sachet
202404;Kota Adm. Jakarta Barat;30;16111;Beras IR. I (IR 64)
202404;Kota Adm. Jakarta Barat;30;14726;Beras IR. II (IR 64) Ramos
202404;Kota Adm. Jakarta Barat;30;13620;Beras IR. III (IR 64)
202404;Kota Adm. Jakarta Barat;30;15652;Beras Muncul .I
202404;Kota Adm. Jakarta Barat;30;16264;Beras IR 42/Pera
202404;Kota Adm. Jakarta Barat;30;15361;Beras Setra I/Premium
202404;Kota Adm. Jakarta Barat;30;16921;Minyak Goreng (Kuning/Curah)
202404;Kota Adm. Jakarta Barat;30;49172;Cabe Merah Keriting
202404;Kota Adm. Jakarta Barat;30;63997;Cabe Merah Besar (TW)
202404;Kota Adm. Jakarta Barat;30;47428;Cabe Rawit Merah
202404;Kota Adm. Jakarta Barat;30;45182;Cabe Rawit Hijau
202404;Kota Adm. Jakarta Barat;30;58466;Bawang Merah
202404;Kota Adm. Jakarta Barat;30;44374;Bawang Putih
202404;Kota Adm. Jakarta Barat;30;147068;Daging Sapi Has (Paha Belakang)
202404;Kota Adm. Jakarta Barat;30;140105;Daging Sapi Murni (Semur)
202404;Kota Adm. Jakarta Barat;30;40989;Ayam Broiler/Ras
202404;Kota Adm. Jakarta Barat;30;29615;Telur Ayam Ras
202404;Kota Adm. Jakarta Barat;30;17806;Gula Pasir
202404;Kota Adm. Jakarta Barat;30;12064;Tepung Terigu
202404;Kota Adm. Jakarta Barat;30;4286;Garam Dapur
202404;Kota Adm. Jakarta Barat;30;19684;Kentang (sedang)
202404;Kota Adm. Jakarta Barat;30;27107;Tomat Buah
202404;Kota Adm. Jakarta Barat;30;9375;Kelapa Kupas
