periode,wilayah,harga,komoditas
2024-01-31,Jakarta Utara,71927,Cabe Merah Keriting
2024-01-31,Jakarta Utara,78807,Cabe Merah Besar (TW)
2024-01-31,Jakarta Utara,74606,Cabe Rawit Merah
2024-01-31,Jakarta Utara,50977,Cabe Rawit Hijau
2024-01-31,Jakarta Utara,41985,Bawang Merah
2024-01-31,Jakarta Utara,43643,Bawang Putih
2024-01-31,Jakarta Utara,146200,Daging Sapi Has (Paha Belakang)
2024-01-31,Jakarta Utara,144302,Daging Sapi Murni (Semur)
2024-01-31,Jakarta Utara,42011,Ayam Broiler/Ras
2024-01-31,Jakarta Utara,27316,Telur Ayam Ras
2024-01-31,Jakarta Utara,16086,Gula Pasir
2024-01-31,Jakarta Utara,11907,Tepung Terigu
2024-01-31,Jakarta Utara,4003,Garam Dapur
2024-01-31,Jakarta Utara,20644,Kentang (sedang)
2024-01-31,Jakarta Utara,22483,Tomat Buah
2024-01-31,Jakarta Utara,10300,Kelapa Kupas
2024-01-31,Jakarta Utara,12935,Semangka
2024-01-31,Jakarta Utara,33699,Jeruk Medan
2024-01-31,Jakarta Utara,140780,Daging Kambing
2024-01-31,Jakarta Utara,110032,Daging Babi Berlemak
2024-01-31,Jakarta Utara,39679,Ikan Bandeng (sedang)
2024-01-31,Jakarta Utara,36934,Ikan Mas
2024-01-31,Jakarta Utara,28106,Ikan Lele
2024-01-31,Jakarta Utara,20807,Gas Elpiji 3kg
2024-01-31,Jakarta Utara,43000,Susu Bubuk Bendera 400gr
2024-01-31,Jakarta Utara,51048,Susu Bubuk Dancow 400gr
2024-01-31,Jakarta Utara,14329,Susu Kental Bendera 200gr
2024-01-31,Jakarta Utara,11399,Susu Kental Enak 200gr
2024-01-31,Jakarta Utara,17507,Margarin Blueband Cup
2024-01-31,Jakarta Utara,11745,Margarin Blueband Sachet
2024-01-31,Jakarta Barat,14530,Beras IR I (IR 64)
2024-01-31,Jakarta Barat,13747,Beras IR II (IR 64) Ramos
2024-01-31,Jakarta Barat,12436,Beras IR III (IR 64)
2024-01-31,Jakarta Barat,15034,Beras Muncul I
2024-01-31,Jakarta Barat,14786,Beras IR 42/Pera
2024-01-31,Jakarta Barat,14237,Beras Setra I/Premium
2024-01-31,Jakarta Barat,15905,Minyak Goreng (Kuning/Curah)
2024-01-31,Jakarta Barat,69667,Cabe Merah Keriting
2024-01-31,Jakarta Barat,76638,Cabe Merah Besar (TW)
2024-01-31,Jakarta Barat,66473,Cabe Rawit Merah
2024-01-31,Jakarta Barat,44367,Cabe Rawit Hijau
2024-01-31,Jakarta Barat,38634,Bawang Merah
2024-01-31,Jakarta Barat,40426,Bawang Putih
2024-01-31,Jakarta Barat,140601,Daging Sapi Has (Paha Belakang)
2024-01-31,Jakarta Barat,135285,Daging Sapi Murni (Semur)
2024-01-31,Jakarta Barat,38649,Ayam Broiler/Ras
2024-01-31,Jakarta Barat,27358,Telur Ayam Ras
2024-01-31,Jakarta Barat,17524,Gula Pasir
2024-01-31,Jakarta Barat,11933,Tepung Terigu
2024-01-31,Jakarta Barat,4293,Garam Dapur
2024-01-31,Jakarta Barat,20622,Kentang (sedang)
2024-01-31,Jakarta Barat,24651,Tomat Buah
2024-01-31,Jakarta Barat,9291,Kelapa Kupas
2024-01-31,Jakarta Barat,11043,Semangka
2024-01-31,Jakarta Barat,26276,Jeruk Medan
2024-01-31,Jakarta Barat,146452,Daging Kambing
2024-01-31,Jakarta Barat,112253,Daging Babi Berlemak
2024-03-31,Jakarta Timur,3750,Susu Bubuk Dancow 400gr
2024-04-30,Jakarta Pusat,15429,Beras IR I (IR 64)
2024-04-30,Jakarta Pusat,14811,Beras IR II (IR 64) Ramos
2024-04-30,Jakarta Pusat,14973,Beras IR III (IR 64)
2024-04-30,Jakarta Pusat,15730,Beras Muncul I
2024-04-30,Jakarta Pusat,15835,Beras IR 42/Pera
2024-04-30,Jakarta Pusat,15571,Beras Setra I/Premium
2024-04-30,Jakarta Pusat,16906,Minyak Goreng (Kuning/Curah)
2024-04-30,Jakarta Pusat,50188,Cabe Merah Keriting
2024-04-30,Jakarta Pusat,62422,Cabe Merah Besar (TW)
2024-04-30,Jakarta Pusat,50269,Cabe Rawit Merah
2024-04-30,Jakarta Pusat,47986,Cabe Rawit Hijau
2024-04-30,Jakarta Pusat,55453,Bawang Merah
2024-04-30,Jakarta Pusat,45598,Bawang Putih
2024-04-30,Jakarta Pusat,146318,Daging Sapi Has (Paha Belakang)
2024-04-30,Jakarta Pusat,140626,Daging Sapi Murni (Semur)
2024-04-30,Jakarta Pusat,44126,Ayam Broiler/Ras
2024-04-30,Jakarta Pusat,29925,Telur Ayam Ras
2024-04-30,Jakarta Pusat,16622,Gula Pasir
